dieharder -a -f 2.000.000_RNG.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|               2.000.000_RNG.txt|  2.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.09888702|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.13533915|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.94542715|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.23602406|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.75669302|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.43235722|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.07787131|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.91373292|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.49077096|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.72994620|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.56066110|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.93451318|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00223229|   WEAK   
      rgb_lagged_sum|  32|   1000000|     100|0.89670729|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.97023217|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.62632407|  PASSED  
             dab_dct| 256|     50000|       1|0.44314363|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.87310382|  PASSED  
        dab_filltree|  32|  15000000|       1|0.09277251|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.09184575|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.44769809|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.85812794|  PASSED 
